Agent,Concept,Problem,Knowledge,Type,Result,Action,When-Part,Where-Part,How-Part,Intermediate,Seen,AL Ans,Correct Ans,Time,Result (Int),Cond
SPPP-S-2,2,[2][args:150-5-90-9],Skill,practice,CORRECT,Request,...,{('answer'&'arg_1_concept_2'&'arg_2_concept_2'&'arg_4_concept_2'&'arg_3_concept_2')},Multiply(Divide(?.v&?.v)&Divide(?.v&?.v)):(arg_1_concept_2&arg_2_concept_2&arg_4_concept_2&arg_3_concept_2)->answer (v: 0.983),FALSE,FALSE,3,3,16:02:08,1,SPPP
SPPP-S-2,3,[3][args:256-4-4],Skill,practice,INCORRECT,Request,...,[1&0],HINT,FALSE,FALSE,None,16,16:02:56,0,SPPP
SPPP-S-2,4,[4][args:3-9],Skill,practice,INCORRECT,Request,...,[3&2],HINT,FALSE,FALSE,None,732,16:03:19,0,SPPP
SPPP-S-2,5,[5][args:16-117-421],Skill,practice,CORRECT,Request,...,{('answer'&'arg_3_concept_5'&'arg_2_concept_5'&'arg_1_concept_5')},Divide(Subtract(?.v&?.v)&?.v):(arg_3_concept_5&arg_2_concept_5&arg_1_concept_5)->answer (v: 0.983),FALSE,FALSE,19,19,16:03:19,1,SPPP
SPPP-S-2,2,[2][args:180-12-115-23],Skill,posttest,CORRECT,Request,...,{('answer'&'arg_1_concept_2'&'arg_2_concept_2'&'arg_4_concept_2'&'arg_3_concept_2')},Multiply(Divide(?.v&?.v)&Divide(?.v&?.v)):(arg_1_concept_2&arg_2_concept_2&arg_4_concept_2&arg_3_concept_2)->answer (v: 0.979),FALSE,TRUE,3,3,16:03:54,1,SPPP
SPPP-S-2,4,[4][args:1-8],Skill,posttest,INCORRECT,Request,...,[5&4],HINT,FALSE,FALSE,None,16,16:03:54,0,SPPP
SPPP-S-2,4,[4][args:3-15],Skill,posttest,INCORRECT,Request,...,{('answer'&'arg_1_concept_4'&'arg_2_concept_4'&'arg_1_concept_4')},Add(?.v&Pow(?.v&?.v)):(arg_1_concept_4&arg_2_concept_4&arg_1_concept_4)->answer (v: 0.700),FALSE,FALSE,None,3380,16:03:55,0,SPPP
SPPP-S-2,3,[3][args:225-5-5],Skill,posttest,INCORRECT,Request,...,[1&0],HINT,FALSE,FALSE,None,9,16:03:55,0,SPPP
SPPP-S-2,5,[5][args:13-98-163],Skill,posttest,CORRECT,Request,...,{('answer'&'arg_3_concept_5'&'arg_2_concept_5'&'arg_1_concept_5')},Divide(Subtract(?.v&?.v)&?.v):(arg_3_concept_5&arg_2_concept_5&arg_1_concept_5)->answer (v: 0.980),FALSE,TRUE,5,5,16:03:55,1,SPPP
SPPP-S-2,4,[4][args:2-18],Skill,posttest,CORRECT,Request,...,{('answer'&'arg_2_concept_4'&'arg_2_concept_4'&'arg_2_concept_4'&'arg_1_concept_4')},Add(Multiply(?.v&?.v)&Divide(?.v&?.v)):(arg_2_concept_4&arg_2_concept_4&arg_2_concept_4&arg_1_concept_4)->answer (v: 0.969),FALSE,TRUE,333,333,16:03:55,1,SPPP
SPPP-S-2,2,[2][args:180-12-115-23],Skill,posttest,CORRECT,Request,...,{('answer'&'arg_1_concept_2'&'arg_2_concept_2'&'arg_4_concept_2'&'arg_3_concept_2')},Multiply(Divide(?.v&?.v)&Divide(?.v&?.v)):(arg_1_concept_2&arg_2_concept_2&arg_4_concept_2&arg_3_concept_2)->answer (v: 0.977),FALSE,TRUE,3,3,16:03:55,1,SPPP
SPPP-S-2,5,[5][args:13-37-154],Skill,posttest,CORRECT,Request,...,{('answer'&'arg_3_concept_5'&'arg_2_concept_5'&'arg_1_concept_5')},Divide(Subtract(?.v&?.v)&?.v):(arg_3_concept_5&arg_2_concept_5&arg_1_concept_5)->answer (v: 0.979),FALSE,FALSE,9,9,16:03:55,1,SPPP
SPPP-S-2,3,[3][args:98-2-7],Skill,posttest,CORRECT,Request,...,{('answer'&'arg_1_concept_3'&'arg_2_concept_3'&'arg_3_concept_3')},Divide(Divide(?.v&?.v)&?.v):(arg_1_concept_3&arg_2_concept_3&arg_3_concept_3)->answer (v: 0.722),FALSE,TRUE,7,7,16:03:55,1,SPPP
SPPP-S-2,3,[3][args:840-2-10],Skill,posttest,CORRECT,Request,...,{('answer'&'arg_1_concept_3'&'arg_2_concept_3'&'arg_3_concept_3')},Divide(Divide(?.v&?.v)&?.v):(arg_1_concept_3&arg_2_concept_3&arg_3_concept_3)->answer (v: 0.997),FALSE,FALSE,42,42,16:03:55,1,SPPP
SPPP-S-2,2,[2][args:180-12-115-23],Skill,posttest,CORRECT,Request,...,{('answer'&'arg_1_concept_2'&'arg_2_concept_2'&'arg_4_concept_2'&'arg_3_concept_2')},Multiply(Divide(?.v&?.v)&Divide(?.v&?.v)):(arg_1_concept_2&arg_2_concept_2&arg_4_concept_2&arg_3_concept_2)->answer (v: 0.975),FALSE,TRUE,3,3,16:03:55,1,SPPP
SPPP-S-2,2,[2][args:45-3-120-24],Skill,posttest,CORRECT,Request,...,{('answer'&'arg_1_concept_2'&'arg_2_concept_2'&'arg_4_concept_2'&'arg_3_concept_2')},Multiply(Divide(?.v&?.v)&Divide(?.v&?.v)):(arg_1_concept_2&arg_2_concept_2&arg_4_concept_2&arg_3_concept_2)->answer (v: 0.997),FALSE,FALSE,3,3,16:03:55,1,SPPP
SPPP-S-2,5,[5][args:13-98-163],Skill,posttest,CORRECT,Request,...,{('answer'&'arg_3_concept_5'&'arg_2_concept_5'&'arg_1_concept_5')},Divide(Subtract(?.v&?.v)&?.v):(arg_3_concept_5&arg_2_concept_5&arg_1_concept_5)->answer (v: 0.976),FALSE,TRUE,5,5,16:03:55,1,SPPP
SPPP-S-2,4,[4][args:2-18],Skill,posttest,CORRECT,Request,...,{('answer'&'arg_2_concept_4'&'arg_2_concept_4'&'arg_2_concept_4'&'arg_1_concept_4')},Add(Multiply(?.v&?.v)&Divide(?.v&?.v)):(arg_2_concept_4&arg_2_concept_4&arg_2_concept_4&arg_1_concept_4)->answer (v: 0.956),FALSE,TRUE,333,333,16:03:55,1,SPPP
SPPP-S-2,3,[3][args:98-2-7],Skill,posttest,CORRECT,Request,...,{('answer'&'arg_1_concept_3'&'arg_2_concept_3'&'arg_3_concept_3')},Divide(Divide(?.v&?.v)&?.v):(arg_1_concept_3&arg_2_concept_3&arg_3_concept_3)->answer (v: 0.981),FALSE,TRUE,7,7,16:03:55,1,SPPP
SPPP-S-2,5,[5][args:5-79-199],Skill,posttest,CORRECT,Request,...,{('answer'&'arg_3_concept_5'&'arg_2_concept_5'&'arg_1_concept_5')},Divide(Subtract(?.v&?.v)&?.v):(arg_3_concept_5&arg_2_concept_5&arg_1_concept_5)->answer (v: 0.975),FALSE,FALSE,24,24,16:03:55,1,SPPP
SPPP-S-2,2,[2][args:360-6-135-9],Skill,posttest,CORRECT,Request,...,{('answer'&'arg_1_concept_2'&'arg_2_concept_2'&'arg_4_concept_2'&'arg_3_concept_2')},Multiply(Divide(?.v&?.v)&Divide(?.v&?.v)):(arg_1_concept_2&arg_2_concept_2&arg_4_concept_2&arg_3_concept_2)->answer (v: 0.973),FALSE,FALSE,4,4,16:03:55,1,SPPP
SPPP-S-2,4,[4][args:2-4],Skill,posttest,CORRECT,Request,...,{('answer'&'arg_2_concept_4'&'arg_2_concept_4'&'arg_2_concept_4'&'arg_1_concept_4')},Add(Multiply(?.v&?.v)&Divide(?.v&?.v)):(arg_2_concept_4&arg_2_concept_4&arg_2_concept_4&arg_1_concept_4)->answer (v: 0.950),FALSE,FALSE,18,18,16:03:55,1,SPPP
SPPP-S-2,2,[2][args:216-4-87-29],Skill,posttest,INCORRECT,Request,...,[1&0],HINT,FALSE,FALSE,None,18,16:03:55,0,SPPP
SPPP-S-2,3,[3][args:448-7-8],Skill,posttest,CORRECT,Request,...,{('answer'&'arg_1_concept_3'&'arg_2_concept_3'&'arg_3_concept_3')},Divide(Divide(?.v&?.v)&?.v):(arg_1_concept_3&arg_2_concept_3&arg_3_concept_3)->answer (v: 0.967),FALSE,FALSE,8,8,16:03:55,1,SPPP
SPPP-S-2,5,[5][args:13-98-163],Skill,posttest,CORRECT,Request,...,{('answer'&'arg_3_concept_5'&'arg_2_concept_5'&'arg_1_concept_5')},Divide(Subtract(?.v&?.v)&?.v):(arg_3_concept_5&arg_2_concept_5&arg_1_concept_5)->answer (v: 0.973),FALSE,TRUE,5,5,16:03:55,1,SPPP
SPPP-S-2,5,[5][args:23-423-584],Skill,posttest,CORRECT,Request,...,{('answer'&'arg_3_concept_5'&'arg_2_concept_5'&'arg_1_concept_5')},Divide(Subtract(?.v&?.v)&?.v):(arg_3_concept_5&arg_2_concept_5&arg_1_concept_5)->answer (v: 0.997),FALSE,FALSE,7,7,16:03:55,1,SPPP
SPPP-S-2,3,[3][args:98-2-7],Skill,posttest,CORRECT,Request,...,{('answer'&'arg_1_concept_3'&'arg_2_concept_3'&'arg_3_concept_3')},Divide(Divide(?.v&?.v)&?.v):(arg_1_concept_3&arg_2_concept_3&arg_3_concept_3)->answer (v: 0.959),FALSE,TRUE,7,7,16:03:56,1,SPPP
SPPP-S-2,4,[4][args:2-18],Skill,posttest,CORRECT,Request,...,{('answer'&'arg_2_concept_4'&'arg_2_concept_4'&'arg_2_concept_4'&'arg_1_concept_4')},Add(Multiply(?.v&?.v)&Divide(?.v&?.v)):(arg_2_concept_4&arg_2_concept_4&arg_2_concept_4&arg_1_concept_4)->answer (v: 0.941),FALSE,TRUE,333,333,16:03:56,1,SPPP
SPPP-F-1,2,[2][args:88-11-48-6],Fact,study,NA,Train,None,{('answer'&'arg_1_concept_2'&'arg_3_concept_2'&'arg_1_concept_2'&'arg_3_concept_2')},Divide(Add(?.v&?.v)&Add(?.v&?.v)):(arg_1_concept_2&arg_3_concept_2&arg_1_concept_2&arg_3_concept_2)->answer,FALSE,FALSE,None,1,15:59:11,,SPPP
SPPP-F-1,3,[3][args:495-9-5],Fact,study,NA,Train,None,{('answer'&'arg_1_concept_3'&'arg_2_concept_3'&'arg_3_concept_3')},Divide(?.v&Multiply(?.v&?.v)):(arg_1_concept_3&arg_2_concept_3&arg_3_concept_3)->answer,FALSE,FALSE,None,11,15:59:14,,SPPP
SPPP-F-1,4,[4][args:3-21],Fact,study,NA,Train,None,{('answer'&)},9268.0:()->answer,FALSE,FALSE,None,9268,15:59:18,,SPPP
SPPP-F-1,5,[5][args:15-142-322],Fact,study,NA,Train,None,{('answer'&'arg_3_concept_5'&'arg_2_concept_5'&'arg_1_concept_5')},Divide(Subtract(?.v&?.v)&?.v):(arg_3_concept_5&arg_2_concept_5&arg_1_concept_5)->answer,FALSE,FALSE,None,12,15:59:22,,SPPP
SPPP-F-1,2,[2][args:88-11-48-6],Fact,practice,CORRECT,Request,...,{('answer'&'arg_1_concept_2'&'arg_3_concept_2'&'arg_1_concept_2'&'arg_3_concept_2')},Divide(Add(?.v&?.v)&Add(?.v&?.v)):(arg_1_concept_2&arg_3_concept_2&arg_1_concept_2&arg_3_concept_2)->answer (v: 0.700),FALSE,FALSE,1,1,15:59:22,1,SPPP
SPPP-F-1,3,[3][args:495-9-5],Fact,practice,INCORRECT,Request,...,[1&0],HINT,FALSE,FALSE,None,11,15:59:26,0,SPPP
SPPP-F-1,3,[3][args:495-9-5],Fact,practice,NA,Train,None,{('answer'&'arg_1_concept_3'&'arg_2_concept_3'&'arg_3_concept_3')},Divide(?.v&Multiply(?.v&?.v)):(arg_1_concept_3&arg_2_concept_3&arg_3_concept_3)->answer,FALSE,FALSE,None,11,15:59:29,,SPPP
SPPP-F-1,4,[4][args:3-21],Fact,practice,INCORRECT,Request,...,{('answer'&)},9268.0:()->answer (v: 0.692),FALSE,FALSE,9268,9268,15:59:29,0,SPPP
SPPP-F-1,4,[4][args:3-21],Fact,practice,NA,Train,None,{('answer'&)},9268.0:()->answer,FALSE,FALSE,None,9268,15:59:37,,SPPP
SPPP-F-1,5,[5][args:15-142-322],Fact,practice,CORRECT,Request,...,{('answer'&'arg_3_concept_5'&'arg_2_concept_5'&'arg_1_concept_5')},Divide(Subtract(?.v&?.v)&?.v):(arg_3_concept_5&arg_2_concept_5&arg_1_concept_5)->answer (v: 0.685),FALSE,FALSE,12,12,15:59:37,1,SPPP
SPPP-F-1,2,[2][args:88-11-48-6],Fact,practice,CORRECT,Request,...,{('answer'&'arg_1_concept_2'&'arg_3_concept_2'&'arg_1_concept_2'&'arg_3_concept_2')},Divide(Add(?.v&?.v)&Add(?.v&?.v)):(arg_1_concept_2&arg_3_concept_2&arg_1_concept_2&arg_3_concept_2)->answer (v: 0.991),FALSE,FALSE,1,1,15:59:41,1,SPPP
SPPP-F-1,3,[3][args:495-9-5],Fact,practice,CORRECT,Request,...,{('answer'&'arg_1_concept_3'&'arg_2_concept_3'&'arg_3_concept_3')},Divide(?.v&Multiply(?.v&?.v)):(arg_1_concept_3&arg_2_concept_3&arg_3_concept_3)->answer (v: 0.759),FALSE,FALSE,11,11,15:59:45,1,SPPP
SPPP-F-1,4,[4][args:3-21],Fact,practice,INCORRECT,Request,...,{('answer'&)},9268.0:()->answer (v: 0.992),FALSE,FALSE,9268,9268,15:59:52,0,SPPP
SPPP-F-1,4,[4][args:3-21],Fact,practice,NA,Train,None,{('answer'&)},9268.0:()->answer,FALSE,FALSE,None,9268,16:00:06,,SPPP
SPPP-F-1,5,[5][args:15-142-322],Fact,practice,CORRECT,Request,...,{('answer'&'arg_3_concept_5'&'arg_2_concept_5'&'arg_1_concept_5')},Divide(Subtract(?.v&?.v)&?.v):(arg_3_concept_5&arg_2_concept_5&arg_1_concept_5)->answer (v: 0.992),FALSE,FALSE,12,12,16:00:06,1,SPPP
SPPP-F-1,2,[2][args:88-11-48-6],Fact,practice,CORRECT,Request,...,{('answer'&'arg_1_concept_2'&'arg_3_concept_2'&'arg_1_concept_2'&'arg_3_concept_2')},Divide(Add(?.v&?.v)&Add(?.v&?.v)):(arg_1_concept_2&arg_3_concept_2&arg_1_concept_2&arg_3_concept_2)->answer (v: 0.987),FALSE,FALSE,1,1,16:00:13,1,SPPP
SPPP-F-1,3,[3][args:495-9-5],Fact,practice,CORRECT,Request,...,{('answer'&'arg_1_concept_3'&'arg_2_concept_3'&'arg_3_concept_3')},Divide(?.v&Multiply(?.v&?.v)):(arg_1_concept_3&arg_2_concept_3&arg_3_concept_3)->answer (v: 0.987),FALSE,FALSE,11,11,16:00:20,1,SPPP
SPPP-F-1,4,[4][args:3-21],Fact,practice,INCORRECT,Request,...,{('answer'&)},9268.0:()->answer (v: 0.988),FALSE,FALSE,9268,9268,16:00:28,0,SPPP
SPPP-F-1,4,[4][args:3-21],Fact,practice,NA,Train,None,{('answer'&)},9268.0:()->answer,FALSE,FALSE,None,9268,16:00:45,,SPPP
SPPP-F-1,5,[5][args:15-142-322],Fact,practice,CORRECT,Request,...,{('answer'&'arg_3_concept_5'&'arg_2_concept_5'&'arg_1_concept_5')},Divide(Subtract(?.v&?.v)&?.v):(arg_3_concept_5&arg_2_concept_5&arg_1_concept_5)->answer (v: 0.987),FALSE,FALSE,12,12,16:00:45,1,SPPP
SPPP-F-1,2,[2][args:88-11-48-6],Fact,practice,INCORRECT,Request,...,[1&0],HINT,FALSE,FALSE,None,1,16:00:52,0,SPPP
SPPP-F-1,2,[2][args:88-11-48-6],Fact,practice,NA,Train,None,{('answer'&'arg_2_concept_2'&'arg_1_concept_2'&'arg_3_concept_2'&'arg_4_concept_2')&('answer'&'arg_1_concept_2'&'arg_1_concept_2'&'arg_3_concept_2'&'arg_3_concept_2')},Multiply(Divide(?.v&?.v)&Divide(?.v&?.v)):(arg_2_concept_2&arg_1_concept_2&arg_3_concept_2&arg_4_concept_2)->answer,FALSE,FALSE,None,1,16:01:00,,SPPP
SPPP-F-1,3,[3][args:495-9-5],Fact,practice,CORRECT,Request,...,{('answer'&'arg_1_concept_3'&'arg_2_concept_3'&'arg_3_concept_3')},Divide(?.v&Multiply(?.v&?.v)):(arg_1_concept_3&arg_2_concept_3&arg_3_concept_3)->answer (v: 0.974),FALSE,FALSE,11,11,16:01:00,1,SPPP
SPPP-F-1,4,[4][args:3-21],Fact,practice,INCORRECT,Request,...,{('answer'&)},9268.0:()->answer (v: 0.984),FALSE,FALSE,9268,9268,16:01:08,0,SPPP
SPPP-F-1,4,[4][args:3-21],Fact,practice,NA,Train,None,{('answer'&)},9268.0:()->answer,FALSE,FALSE,None,9268,16:01:23,,SPPP
SPPP-F-1,5,[5][args:15-142-322],Fact,practice,CORRECT,Request,...,{('answer'&'arg_3_concept_5'&'arg_2_concept_5'&'arg_1_concept_5')},Divide(Subtract(?.v&?.v)&?.v):(arg_3_concept_5&arg_2_concept_5&arg_1_concept_5)->answer (v: 0.984),FALSE,FALSE,12,12,16:01:23,1,SPPP
SPPP-F-1,4,[4][args:4-12],Fact,posttest,INCORRECT,Request,...,{('answer'&)},9268.0:()->answer (v: 0.982),FALSE,FALSE,9268,20739,16:01:30,0,SPPP
SPPP-F-1,4,[4][args:3-21],Fact,posttest,INCORRECT,Request,...,{('answer'&)},9268.0:()->answer (v: 0.997),FALSE,FALSE,9268,9268,16:01:30,0,SPPP
SPPP-F-1,2,[2][args:88-11-48-6],Fact,posttest,CORRECT,Request,...,{('answer'&'arg_2_concept_2'&'arg_1_concept_2'&'arg_3_concept_2'&'arg_4_concept_2')&('answer'&'arg_1_concept_2'&'arg_1_concept_2'&'arg_3_concept_2'&'arg_3_concept_2')},Multiply(Divide(?.v&?.v)&Divide(?.v&?.v)):(arg_2_concept_2&arg_1_concept_2&arg_3_concept_2&arg_4_concept_2)->answer (v: 0.679),FALSE,FALSE,1,1,16:01:31,1,SPPP
SPPP-F-1,2,[2][args:88-11-48-6],Fact,posttest,CORRECT,Request,...,{('answer'&'arg_2_concept_2'&'arg_1_concept_2'&'arg_3_concept_2'&'arg_4_concept_2')&('answer'&'arg_1_concept_2'&'arg_1_concept_2'&'arg_3_concept_2'&'arg_3_concept_2')},Multiply(Divide(?.v&?.v)&Divide(?.v&?.v)):(arg_2_concept_2&arg_1_concept_2&arg_3_concept_2&arg_4_concept_2)->answer (v: 0.997),FALSE,FALSE,1,1,16:01:31,1,SPPP
SPPP-F-1,5,[5][args:13-37-154],Fact,posttest,CORRECT,Request,...,{('answer'&'arg_3_concept_5'&'arg_2_concept_5'&'arg_1_concept_5')},Divide(Subtract(?.v&?.v)&?.v):(arg_3_concept_5&arg_2_concept_5&arg_1_concept_5)->answer (v: 0.981),FALSE,FALSE,9,9,16:01:31,1,SPPP
SPPP-F-1,2,[2][args:360-6-135-9],Fact,posttest,INCORRECT,Request,...,{('answer'&'arg_2_concept_2'&'arg_1_concept_2'&'arg_3_concept_2'&'arg_4_concept_2')&('answer'&'arg_1_concept_2'&'arg_1_concept_2'&'arg_3_concept_2'&'arg_3_concept_2')},Multiply(Divide(?.v&?.v)&Divide(?.v&?.v)):(arg_2_concept_2&arg_1_concept_2&arg_3_concept_2&arg_4_concept_2)->answer (v: 0.994),FALSE,FALSE,0.25,4,16:01:31,0,SPPP
SPPP-F-1,3,[3][args:495-9-5],Fact,posttest,CORRECT,Request,...,{('answer'&'arg_1_concept_3'&'arg_2_concept_3'&'arg_3_concept_3')},Divide(?.v&Multiply(?.v&?.v)):(arg_1_concept_3&arg_2_concept_3&arg_3_concept_3)->answer (v: 0.957),FALSE,FALSE,11,11,16:01:31,1,SPPP
SPPP-F-1,5,[5][args:15-142-322],Fact,posttest,CORRECT,Request,...,{('answer'&'arg_3_concept_5'&'arg_2_concept_5'&'arg_1_concept_5')},Divide(Subtract(?.v&?.v)&?.v):(arg_3_concept_5&arg_2_concept_5&arg_1_concept_5)->answer (v: 0.979),FALSE,FALSE,12,12,16:01:31,1,SPPP
SPPP-F-1,3,[3][args:448-7-8],Fact,posttest,CORRECT,Request,...,{('answer'&'arg_1_concept_3'&'arg_2_concept_3'&'arg_3_concept_3')},Divide(?.v&Multiply(?.v&?.v)):(arg_1_concept_3&arg_2_concept_3&arg_3_concept_3)->answer (v: 0.954),FALSE,FALSE,8,8,16:01:31,1,SPPP
SPPP-F-1,2,[2][args:216-4-87-29],Fact,posttest,INCORRECT,Request,...,{('answer'&'arg_2_concept_2'&'arg_1_concept_2'&'arg_3_concept_2'&'arg_4_concept_2')&('answer'&'arg_1_concept_2'&'arg_1_concept_2'&'arg_3_concept_2'&'arg_3_concept_2')},Multiply(Divide(?.v&?.v)&Divide(?.v&?.v)):(arg_2_concept_2&arg_1_concept_2&arg_3_concept_2&arg_4_concept_2)->answer (v: 0.990),FALSE,FALSE,0.055555556,18,16:01:31,0,SPPP
SPPP-F-1,3,[3][args:312-3-4],Fact,posttest,CORRECT,Request,...,{('answer'&'arg_1_concept_3'&'arg_2_concept_3'&'arg_3_concept_3')},Divide(?.v&Multiply(?.v&?.v)):(arg_1_concept_3&arg_2_concept_3&arg_3_concept_3)->answer (v: 0.950),FALSE,FALSE,26,26,16:01:31,1,SPPP
SPPP-F-1,3,[3][args:495-9-5],Fact,posttest,CORRECT,Request,...,{('answer'&'arg_1_concept_3'&'arg_2_concept_3'&'arg_3_concept_3')},Divide(?.v&Multiply(?.v&?.v)):(arg_1_concept_3&arg_2_concept_3&arg_3_concept_3)->answer (v: 0.997),FALSE,FALSE,11,11,16:01:31,1,SPPP
SPPP-F-1,5,[5][args:15-142-322],Fact,posttest,CORRECT,Request,...,{('answer'&'arg_3_concept_5'&'arg_2_concept_5'&'arg_1_concept_5')},Divide(Subtract(?.v&?.v)&?.v):(arg_3_concept_5&arg_2_concept_5&arg_1_concept_5)->answer (v: 0.977),FALSE,FALSE,12,12,16:01:31,1,SPPP
SPPP-F-1,4,[4][args:3-21],Fact,posttest,INCORRECT,Request,...,{('answer'&)},9268.0:()->answer (v: 0.976),FALSE,FALSE,9268,9268,16:01:31,0,SPPP
SPPP-F-1,2,[2][args:110-5-121-11],Fact,posttest,INCORRECT,Request,...,{('answer'&'arg_2_concept_2'&'arg_1_concept_2'&'arg_3_concept_2'&'arg_4_concept_2')&('answer'&'arg_1_concept_2'&'arg_1_concept_2'&'arg_3_concept_2'&'arg_3_concept_2')},Multiply(Divide(?.v&?.v)&Divide(?.v&?.v)):(arg_2_concept_2&arg_1_concept_2&arg_3_concept_2&arg_4_concept_2)->answer (v: 0.986),FALSE,FALSE,0.5,2,16:01:31,0,SPPP
